s,Faction,Front Name,Era,Cost,Front Factory,Upgrade1,Upgrade2,Back Name,Back Factory,Input,Front Output,Front Efficiency,Back Output,Back Efficiency,Upgrades
1,凯利安,纳米科技,1,Researched,bbb➪Ug,基因工程学,原子嬗变,纳米制造,bbb➪UgY,3,4,1.333,5.5,1.833,1.375
2,凯利安,基因工程学,1,Researched,ggg➪YBb,纳米科技,临床永生,基因再合成,ggg➪YBbY,3,4,1.333,5.5,1.833,1.375
3,凯利安,通用翻译器,1,Researched,www➪$+B,泛在文化知识库,量子计算机,通用共情交流,www➪$+Bbw,3,4.5,1.5,6.5,2.167,1.444
4,凯利安,反物质能源,2,Researched,bbbb➪YYBw,超空间开采,有机结构,反物质化合物,bbbb➪YYBwgw,4,5.5,1.375,7.5,1.875,1.364
5,凯利安,种族间医学交流,2,Researched,gggg➪$w+gb,跨种族道德平等,有机结构,泛生物医学,gggg➪$wbY+gb,4,6,1.5,8.5,2.125,1.417
6,凯利安,跨种族道德平等,2,Researched,wwww➪$+$b,种族间医学交流,非时序分析,具体共相元理论学,wwww➪$U+$b,4,7,1.75,10,2.5,1.429
7,凯利安,异文化交流,3,Researched,bbbbb➪$Bwwwg+$,巨型建筑,社会迁移,多种族混合文化,bbbbb➪$$Bwwwg+$Bw,5,11.5,2.3,17,3.4,1.478
8,凯利安,多元种族企业,3,Researched,ggggg➪$YY**+bbbg,银河系通讯控制,异文化交流,全种族间融合,ggggg➪$$YY**+bbbgw,5,12,2.4,16,3.2,1.333
9,凯利安,社会迁移,3,Researched,wwwww➪$**B+$**YT,银河系通讯控制,异文化交流,银河系殖民,wwwww➪$$**B+$**YTb,5,14.5,2.9,18.5,3.7,1.276
10,凯利安,量子计算机,1,Researched,BB➪TYg,通用翻译器,临床永生,非确定性多项式塌缩,BB➪YTgY,3,4,1.333,5.5,1.833,1.375
11,凯利安,临床永生,1,Researched,TT➪$w,基因工程学,原子嬗变,实用永生,TT➪$wY,3,4,1.333,5.5,1.833,1.375
12,凯利安,泛在文化知识库,1,Researched,YY➪$g,通用翻译器,量子计算机,模因生命体,YY➪$gB,3,4,1.333,5.5,1.833,1.375
13,凯利安,非时序分析,2,Researched,BBB➪UYwb,反物质能源,奇点控制,时间查看器,BBB➪UYTwwb,4.5,6.5,1.444,9,2,1.385
14,凯利安,有机结构,2,Researched,TTT➪**bbwg,种族间医学交流,跨种族道德平等,活体基础设施,TTT➪Y**bbwg,4.5,6,1.333,7.5,1.667,1.25
15,凯利安,超空间开采,2,Researched,YYY➪UB+YY,反物质能源,奇点控制,超空间定居点,YYY➪UBBwb+YY,4.5,7.5,1.667,11,2.444,1.467
16,凯利安,银河系通讯控制,3,Researched,BBBB➪$$$bbw,多元种族企业,社会迁移,银河系统治,BBBB➪$$$$Ybbw,6,12,2,16.5,2.75,1.375
17,凯利安,时间膨胀,3,Researched,TTTT➪$$Uggw,巨型建筑,物质生成,静滞场,TTTT➪$$$Uggw+U,6,12,2,18,3,1.5
18,凯利安,物质生成,3,Researched,YYYY➪$$UTwb,多元种族企业,时间膨胀,大规模传送,YYYY➪$$$UTwbb,6,12.5,2.083,16.5,2.75,1.32
19,凯利安,月球开采联盟,0,Starting,TT➪**Bw,BBJ→$Y,有机结构,奥克松斯式外恒星系采集,TT➪**BYg,3,4.5,1.5,6,2,1.333
20,凯利安,行星生态支配,0,Starting,➪gggw*,TTJ→$Y,基因工程学,恒星系范围引力支配,➪gggwT*,0,5,1000,6.5,1000,1.3
21,凯利安,原子嬗变,1,Researched,U➪YTb,泛在文化知识库,纳米科技,虚材料,U➪YTbT,3,4,1.333,5.5,1.833,1.375
22,凯利安,海洋处理,0,Starting,gg➪Tb,BBJ→$Y,反物质能源,行星范围工业化海水养殖,gg➪BTb,2,2.5,1.25,4,2,1.6
23,凯利安,分布式远程网络,0,Starting,B➪bw,TTJ→$Y,泛在文化知识库,安塞波驱动的跨恒星系社会,B➪Tbw,1.5,2,1.333,3.5,2.333,1.75
24,凯利安,奇点控制,2,Researched,UU➪YTTwgb*,超空间开采,非时序分析,虫洞网格,UU➪YTTwbbbg*,6,8.5,1.417,10.5,1.75,1.235
25,凯利安,Phases,,Reference,,,,,,,,,,,
26,凯利安,巨型建筑,3,Researched,UUU➪$$$$$wb,时间膨胀,物质生成,戴森群,UUU➪$$$$$$wbT,9,17,1.889,21.5,2.389,1.265
27,恩尼艾特,纳米科技,1,Researched,bbb➪Uw,基因工程学,原子嬗变,纳米制造,bbb➪UwT,3,4,1.333,5.5,1.833,1.375
28,恩尼艾特,基因工程学,1,Researched,ggg➪YBb,纳米科技,临床永生,基因再合成,ggg➪YBbB,3,4,1.333,5.5,1.833,1.375
29,恩尼艾特,通用翻译器,1,Researched,www➪$+B,泛在文化知识库,量子计算机,通用共情交流,www➪$+Bgb,3,4.5,1.5,6.5,2.167,1.444
30,恩尼艾特,反物质能源,2,Researched,bbbb➪YYBw,超空间开采,有机结构,反物质化合物,bbbb➪YYBwgg,4,5.5,1.375,7.5,1.875,1.364
31,恩尼艾特,种族间医学交流,2,Researched,gggg➪$w+gb,跨种族道德平等,有机结构,泛生物医学,gggg➪$wbY+gb,4,6,1.5,8.5,2.125,1.417
32,恩尼艾特,跨种族道德平等,2,Researched,wwww➪$+$b,种族间医学交流,非时序分析,具体共相元理论学,wwww➪$U+$b,4,7,1.75,10,2.5,1.429
33,恩尼艾特,异文化交流,3,Researched,bbbbb➪$Ywwgg+$,巨型建筑,社会迁移,多种族混合文化,bbbbb➪$$Ywwgg+$Yg,5,11.5,2.3,17,3.4,1.478
34,恩尼艾特,多元种族企业,3,Researched,ggggg➪$YT**+bbgg,银河系通讯控制,异文化交流,全种族间融合,ggggg➪$$YT**+bbbgg,5,12,2.4,16,3.2,1.333
35,恩尼艾特,社会迁移,3,Researched,wwwww➪$**B+$**YB,银河系通讯控制,异文化交流,银河系殖民,wwwww➪$$**B+$**YBb,5,14.5,2.9,18.5,3.7,1.276
36,恩尼艾特,量子计算机,1,Researched,BB➪YYg,通用翻译器,临床永生,非确定性多项式塌缩,BB➪YYgY,3,4,1.333,5.5,1.833,1.375
37,恩尼艾特,临床永生,1,Researched,TT➪$b,基因工程学,原子嬗变,实用永生,TT➪$bB,3,4,1.333,5.5,1.833,1.375
38,恩尼艾特,泛在文化知识库,1,Researched,YY➪$g,通用翻译器,量子计算机,模因生命体,YY➪$gB,3,4,1.333,5.5,1.833,1.375
39,恩尼艾特,非时序分析,2,Researched,BBB➪UYwb,反物质能源,奇点控制,时间查看器,BBB➪UYwbbY,4.5,6.5,1.444,9,2,1.385
40,恩尼艾特,有机结构,2,Researched,TTT➪**bbgg,种族间医学交流,跨种族道德平等,活体基础设施,TTT➪**bbggB,4.5,6,1.333,7.5,1.667,1.25
41,恩尼艾特,超空间开采,2,Researched,YYY➪UB+BT,反物质能源,奇点控制,超空间定居点,YYY➪UBBgb+BT,4.5,7.5,1.667,11,2.444,1.467
42,恩尼艾特,银河系通讯控制,3,Researched,BBBB➪$$$bgw,多元种族企业,社会迁移,银河系统治,BBBB➪$$$$Tbgw,6,12,2,16.5,2.75,1.375
43,恩尼艾特,时间膨胀,3,Researched,TTTT➪$$Ugbb,巨型建筑,物质生成,静滞场,TTTT➪$$$Ugbb+U,6,12,2,18,3,1.5
44,恩尼艾特,物质生成,3,Researched,YYYY➪$$UBwb,多元种族企业,时间膨胀,大规模传送,YYYY➪$$$UBwgb,6,12.5,2.083,16.5,2.75,1.32
45,恩尼艾特,骨骼雕刻,0,Starting,TT➪wwbg,TTW→$,纳米科技,纳米工艺,TT➪wwwbg,3,4,1.333,5,1.667,1.25
46,恩尼艾特,深潜狩猎,0,Starting,➪T*,TTW→$,基因工程学,深海捕捞,➪T*w,0,2.5,1000,3.5,1000,1.4
47,恩尼艾特,原子嬗变,1,Researched,U➪BTb,泛在文化知识库,纳米科技,虚材料,U➪YBTb,3,4,1.333,5.5,1.833,1.375
48,恩尼艾特,合唱之歌,0,Starting,wwwww➪UBg**,TTW→$,临床永生,永恒乐章,wwwww➪UBg**Y,5,7.5,1.5,9,1.8,1.2
49,恩尼艾特,通用应用元伦理学,0,Starting,U➪$+www,TTW→$,原子嬗变,全向种族元理论模型,U➪$+wwwgb,3,6,2,8,2.667,1.333
50,恩尼艾特,奇点控制,2,Researched,UU➪TBYggb*,超空间开采,非时序分析,虫洞网格,UU➪YBTggbbw*,6,8.5,1.417,10.5,1.75,1.235
51,恩尼艾特,Phases,,Reference,,,,,,,,,,,
52,恩尼艾特,巨型建筑,3,Researched,UUU➪$$$$$gb,时间膨胀,物质生成,戴森群,UUU➪$$$$$$gbB,9,17,1.889,21.5,2.389,1.265
